BA,OBPct,AB,H,2B,3B,HR,SLG,OPS
0.302,0.384,"10,897","3,292",677,84,157,0.5071120492,0.8911120492
0.283,0.365,"11,048","3,131",575,84,110,0.4501267198,0.8151267198
0.293,0.385,"16,541","4,843",859,113,282,0.4853394595,0.8703394595
0.296,0.386,"13,377","3,958",747,78,273,0.5066905883,0.8926905883
0.279,0.367,"10,488","2,928",494,74,81,0.4254385965,0.7924385965
0.305,0.388,"11,778","3,588",592,84,209,0.4975377823,0.8855377823
0.292,0.368,"13,409","3,922",752,104,213,0.4914609591,0.8594609591
0.298,0.381,"9,386","2,794",513,83,128,0.4880673343,0.8690673343
0.277,0.371,"6,344","1,760",326,49,80,0.453814628,0.824814628
0.252,0.335,"5,662","1,428",233,37,24,0.3710702932,0.7060702932
0.298,0.386,"9,191","2,743",550,80,141,0.5056033076,0.8916033076
0.289,0.381,"9,105","2,634",480,93,97,0.4679846238,0.8489846238
0.285,0.371,"13,738","3,918",723,78,193,0.4636773912,0.8346773912
0.257,0.353,"3,081",791,134,19,28,0.3985718922,0.7515718922
0.293,0.376,"9,254","2,707",499,46,112,0.4636913767,0.8396913767
0.284,0.368,"10,247","2,911",531,75,103,0.449887772,0.817887772
0.298,0.383,"11,135","3,316",638,89,161,0.494207454,0.877207454
0.3,0.385,"10,426","3,124",549,91,124,0.4787070785,0.8637070785
0.3,0.396,"9,471","2,845",520,58,83,0.4636258051,0.8596258051
0.285,0.367,"8,919","2,545",452,75,89,0.4518443772,0.8188443772
0.292,0.372,"13,678","3,991",744,84,179,0.4713408393,0.8433408393
0.302,0.386,"10,856","3,279",595,89,122,0.4812085483,0.8672085483
0.291,0.371,"12,533","3,642",630,65,165,0.4593473231,0.8303473231
0.293,0.379,"15,090","4,426",829,81,208,0.4744201458,0.8534201458
0.309,0.39,"13,771","4,249",769,132,210,0.5099847506,0.8999847506
0.283,0.375,"10,035","2,844",491,87,75,0.4371699053,0.8121699053
0.28,0.371,"8,098","2,269",415,62,107,0.4585082736,0.8295082736
0.281,0.37,"11,221","3,153",566,111,108,0.4500490152,0.8200490152
0.289,0.371,"10,186","2,945",553,89,184,0.4961712154,0.8671712154
0.285,0.369,"13,645","3,894",654,113,103,0.4362770246,0.8052770246
0.269,0.351,"8,106","2,177",343,61,77,0.4137675796,0.7647675796
0.273,0.363,"12,147","3,317",559,59,209,0.4485058039,0.8115058039
0.283,0.362,"13,507","3,820",648,83,149,0.4413267195,0.8033267195
0.302,0.381,"16,108","4,860",832,164,179,0.480009933,0.861009933
0.298,0.377,"11,453","3,408",638,70,186,0.492272767,0.869272767
0.291,0.378,"11,438","3,334",567,76,172,0.4707116629,0.8487116629
0.293,0.383,"9,367","2,742",506,113,125,0.4903384221,0.8733384221
0.299,0.388,"12,390","3,701",687,87,178,0.4881355932,0.8761355932
0.291,0.379,"10,226","2,978",536,105,104,0.4675337375,0.8465337375
0.286,0.367,"12,329","3,520",636,74,235,0.4829264336,0.8499264336
0.286,0.373,"8,604","2,465",400,54,90,0.440144119,0.813144119
0.292,0.383,"7,185","2,101",388,61,70,0.4648573417,0.8478573417
0.283,0.372,"10,636","3,008",552,79,138,0.4607935314,0.8327935314
0.286,0.378,"14,509","4,150",751,129,164,0.4614377283,0.8394377283
0.278,0.359,"8,420","2,340",409,61,112,0.45,0.809
