,Player,N_Swings,Handedness,Plane_Score,Connection_Score,Rotation_Score,Bat_Speed,Rotational_Acceleration,On_Plane_Efficiency,Attack_Angle,Early_Connection,Connection_Impact,Vertical_Bat_Angle,Power,Time_to_Contact,Peak_Hand_Speed
0,bankovich,2438,Right,68.0,59.0,53.0,71.0,14.0,85.0,10.0,91.0,85.0,-31.0,4.48,0.14,21.5
1,brock,642,Right,51.0,38.0,55.0,67.1,14.9,68.0,12.0,106.0,103.0,-32.0,3.99,0.15,21.5
2,craig,1110,Right,46.0,45.0,49.0,60.3,12.3,62.0,8.0,104.0,84.0,-33.0,2.9,0.16,17.2
3,hertz,947,Right,68.0,47.0,46.0,64.7,11.3,84.0,7.0,83.0,78.0,-37.0,3.44,0.16,20.7
4,karpishin,7,Right,71.0,45.0,33.0,63.6,5.9,87.0,9.0,111.0,94.0,-25.0,2.91,0.17,20.9
5,matzat,1529,Right,42.0,46.0,45.0,67.9,10.9,59.0,12.0,89.0,74.0,-28.0,3.6,0.16,20.5
6,mckinsey,1599,Right,51.0,51.0,51.0,67.2,13.5,67.0,12.0,101.0,88.0,-30.0,3.8,0.15,20.7
7,mcnabb,1342,Left,56.0,52.0,42.0,66.5,9.4,73.0,8.0,94.5,82.0,-32.0,3.65,0.16,20.7
8,miraz,1821,Right,47.0,55.0,48.0,70.7,12.1,64.0,9.0,98.0,88.0,-36.0,4.42,0.15,21.8
9,moses,312,Right,59.0,37.0,67.0,71.9,19.8,76.0,14.0,77.0,72.0,-29.0,4.62,0.14,21.7
10,pickering,1648,Left,31.0,37.0,33.0,66.2,5.8,48.0,11.0,115.0,85.0,-32.0,3.59,0.16,20.15
11,piontek,1115,Right,60.0,55.0,37.0,69.0,7.5,76.0,9.0,92.0,83.0,-33.0,3.75,0.16,21.4
12,press,1090,Left,66.0,57.0,48.0,65.9,12.1,83.0,7.0,98.0,91.0,-42.0,3.6,0.16,19.2
13,rende,405,Left,42.0,41.0,48.0,64.0,12.1,58.0,12.0,112.0,90.0,-36.0,3.22,0.16,21.0
14,rieth,1575,Right,50.0,56.0,36.0,63.2,7.0,67.0,9.0,90.0,84.0,-38.0,3.06,0.17,19.7
15,stezzi,843,Left,53.0,52.0,79.0,70.4,14.9,69.0,13.0,97.0,82.0,-36.0,4.15,0.15,21.9
16,sy,1421,Right,68.0,53.0,53.0,65.3,11.1,85.0,6.0,85.0,82.0,-37.0,3.43,0.16,19.6
17,trombley,1319,Right,55.0,54.0,68.0,64.0,16.7,71.0,11.0,92.0,83.0,-30.0,3.35,0.16,20.5
18,whitley,1545,Right,36.0,42.0,60.0,70.1,16.8,52.0,17.0,111.0,91.0,-31.0,4.26,0.15,22.1
