,Unnamed: 0,Inning,batter_number,count,date,executed,hit_miss,inning,notes,pitch_location,pitch_number,pitch_type,pitcher_name,called_strike,date_converted,live
0,0,,,,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,48.0,1,0.0,Alex Muchnick,0,2020-02-05,0
1,1,,,,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,37.0,2,0.0,Alex Muchnick,0,2020-02-05,0
2,2,,,,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,23.0,3,0.0,Alex Muchnick,1,2020-02-05,0
3,3,,,,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,25.0,4,0.0,Alex Muchnick,0,2020-02-05,0
4,4,,,,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,30.0,5,2.0,Alex Muchnick,0,2020-02-05,0
5,5,,,,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,29.0,6,0.0,Alex Muchnick,1,2020-02-05,0
6,6,,,,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,17.0,7,2.0,Alex Muchnick,1,2020-02-05,0
7,7,,,0b-0s,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,18.0,8,0.0,Alex Muchnick,0,2020-02-05,0
8,8,,,0b-1s,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,22.0,9,0.0,Alex Muchnick,1,2020-02-05,0
9,9,,,1b-1s,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,30.0,10,2.0,Alex Muchnick,0,2020-02-05,0
10,10,,,2b-1s,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,18.0,11,1.0,Alex Muchnick,0,2020-02-05,0
11,11,,,2b-1s,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,22.0,12,0.0,Alex Muchnick,1,2020-02-05,0
12,12,,,0b-0s,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,32.0,13,0.0,Alex Muchnick,1,2020-02-05,0
13,13,,,0b-1s,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,26.0,14,1.0,Alex Muchnick,1,2020-02-05,0
14,14,,,0b-1s,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,27.0,15,0.0,Alex Muchnick,1,2020-02-05,0
15,15,,,0b-1s,Wed Feb 05 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,28.0,16,0.0,Alex Muchnick,1,2020-02-05,0
16,0,1.0,1.0,,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,27.0,1,0.0,Alex Muchnick,1,2020-02-07,0
17,1,1.0,1.0,,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,44.0,2,1.0,Alex Muchnick,0,2020-02-07,0
18,2,1.0,1.0,1b-1s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,37.0,3,0.0,Alex Muchnick,0,2020-02-07,0
19,3,1.0,1.0,2b-1s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,22.0,4,0.0,Alex Muchnick,1,2020-02-07,0
20,4,1.0,1.0,2b-2s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,45.0,5,2.0,Alex Muchnick,0,2020-02-07,0
21,5,1.0,1.0,3b-2s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,28.0,6,0.0,Alex Muchnick,1,2020-02-07,0
22,6,1.0,2.0,0b-0s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,40.0,7,0.0,Alex Muchnick,1,2020-02-07,0
23,7,1.0,2.0,0b-1s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,15.0,8,0.0,Alex Muchnick,1,2020-02-07,0
24,8,1.0,2.0,0b-2s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,37.0,9,1.0,Alex Muchnick,0,2020-02-07,0
25,9,1.0,3.0,0b-0s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,26.0,10,0.0,Alex Muchnick,1,2020-02-07,0
26,10,2.0,1.0,0b-0s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,29.0,11,0.0,Alex Muchnick,1,2020-02-07,0
27,11,2.0,1.0,0b-1s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,44.0,12,1.0,Alex Muchnick,0,2020-02-07,0
28,12,2.0,1.0,1b-1s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,25.0,13,0.0,Alex Muchnick,0,2020-02-07,0
29,13,2.0,1.0,2b-1s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,14.0,14,0.0,Alex Muchnick,1,2020-02-07,0
30,14,2.0,1.0,2b-2s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,33.0,15,1.0,Alex Muchnick,1,2020-02-07,0
31,15,2.0,2.0,0b-0s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,45.0,16,1.0,Alex Muchnick,0,2020-02-07,0
32,16,2.0,2.0,1b-0s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,12.0,17,0.0,Alex Muchnick,0,2020-02-07,0
33,17,2.0,2.0,2b-0s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,3.0,18,0.0,Alex Muchnick,0,2020-02-07,0
34,18,2.0,2.0,3b-0s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,21.0,19,0.0,Alex Muchnick,1,2020-02-07,0
35,19,2.0,3.0,0b-0s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,25.0,20,0.0,Alex Muchnick,0,2020-02-07,0
36,20,2.0,3.0,1b-0s,Fri Feb 07 2020 19:00:00 GMT-0500 (Eastern Standard Time),,,,,22.0,21,0.0,Alex Muchnick,1,2020-02-07,0
