,pitch_number,pitcher_name,date,live,inning,pitch_location,batter_number,count,executed,hit_miss,pitch_type,notes,date_converted
0,1.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,47.0,1.0,0b-0s,,,0,,2020-02-14
1,2.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,34.0,1.0,1b-0s,,,2,,2020-02-14
2,3.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,45.0,2.0,0b-0s,,,2,,2020-02-14
3,4.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,37.0,2.0,1b-0s,,,2,,2020-02-14
4,5.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,34.0,2.0,2b-0s,,,0,,2020-02-14
5,6.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,45.0,2.0,2b-1s,,,0,,2020-02-14
6,7.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,29.0,2.0,3b-1s,,,0,,2020-02-14
7,8.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,18.0,3.0,0b-0s,,,1,,2020-02-14
8,9.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,,3.0,1b-0s,,,0,,2020-02-14
9,10.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),,1.0,27.0,3.0,1b-0s,,,0,,2020-02-14
0,11.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),1.0,2.0,44.0,1.0,0b-0s,,,0,,2020-02-14
1,12.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),1.0,2.0,12.0,1.0,1b-0s,,,0,,2020-02-14
2,13.0,Alex Muchnick,Fri Feb 14 2020 19:00:00 GMT-0500 (Eastern Standard Time),1.0,2.0,32.0,1.0,2b-0s,,,0,,2020-02-14
